epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
44,2203.85,0.91506,0.52937,0.01171,0.93694,0.88596,0.95253,0.73686,0.79914,0.39438,0.01294,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,2253.15,0.89916,0.52871,0.01204,0.92514,0.89596,0.94526,0.73333,0.79701,0.38244,0.01282,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
46,2302.74,0.88487,0.5032,0.01164,0.92241,0.89503,0.95065,0.74073,0.79657,0.38013,0.01301,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
47,2351.93,0.88958,0.50318,0.01171,0.92072,0.88277,0.94787,0.74953,0.75781,0.36661,0.01211,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
48,2400.66,0.89325,0.49395,0.01145,0.93755,0.89841,0.95598,0.74902,0.77907,0.34431,0.01267,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
49,2449.38,0.90169,0.49732,0.01149,0.93123,0.90765,0.9553,0.7495,0.76803,0.33951,0.01241,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
50,2498.68,0.87676,0.48094,0.01161,0.92259,0.89106,0.94717,0.74163,0.79075,0.3723,0.01307,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
51,2547.43,0.87865,0.50494,0.01123,0.93235,0.89332,0.95436,0.7562,0.75437,0.34702,0.01194,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
52,2596.29,0.86271,0.49384,0.01125,0.92669,0.90364,0.95209,0.75055,0.78349,0.36336,0.01229,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
53,2646.15,0.88158,0.49374,0.01092,0.93715,0.9104,0.95822,0.74784,0.7806,0.35051,0.01239,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
54,2695.49,0.89264,0.4863,0.01121,0.93137,0.88504,0.95218,0.75131,0.76799,0.37532,0.0122,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251
55,2744.29,0.87516,0.49317,0.01123,0.92896,0.90359,0.95556,0.75926,0.74738,0.34661,0.01179,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
56,2793.61,0.87168,0.49673,0.01129,0.9165,0.91032,0.95619,0.75307,0.76643,0.34443,0.0121,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
