epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
56,2124.51,0.77765,0.52375,1.10602,0.91761,0.91355,0.95331,0.75784,0.71821,0.47872,1.00309,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
57,2161.27,0.76521,0.50275,1.10891,0.932,0.90102,0.95866,0.7602,0.73281,0.51075,1.01076,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
58,2198.34,0.78919,0.52033,1.11348,0.93055,0.88939,0.95155,0.75916,0.72885,0.55243,1.00896,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
59,2235.06,0.76565,0.50532,1.10401,0.93482,0.89324,0.94936,0.754,0.72504,0.51026,1.0061,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
60,2272.14,0.7796,0.51454,1.11072,0.96272,0.88392,0.95058,0.75875,0.72836,0.54276,0.9962,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053
61,2309.1,0.75622,0.50826,1.09966,0.94415,0.88063,0.93947,0.74499,0.73931,0.50313,1.01067,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
62,2346.21,0.76686,0.51367,1.11855,0.93955,0.89932,0.95693,0.76294,0.70965,0.43339,0.98988,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987
63,2383.58,0.75675,0.49793,1.10255,0.9441,0.90857,0.96235,0.77153,0.71206,0.41125,0.99422,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
64,2420.57,0.77271,0.51435,1.09711,0.9574,0.87887,0.95673,0.76162,0.72243,0.43259,1.00024,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
65,2457.62,0.76346,0.50389,1.10537,0.94282,0.90179,0.96115,0.76479,0.7246,0.44382,1.0033,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
66,2494.69,0.75752,0.49891,1.10148,0.93111,0.91505,0.9629,0.76934,0.72618,0.65225,0.99875,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
67,2531.65,0.74914,0.49013,1.09177,0.9432,0.90756,0.95969,0.76614,0.71699,0.47493,0.99492,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
68,2569.62,0.74545,0.47743,1.08546,0.92747,0.93173,0.96339,0.7706,0.72373,0.41236,1.00038,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789
69,2607.02,0.73832,0.48174,1.0909,0.94125,0.91666,0.95924,0.76632,0.72432,0.48587,0.99388,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
70,2644.51,0.76298,0.50051,1.10365,0.94175,0.90226,0.9594,0.76855,0.71484,0.43203,0.99082,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
71,2681.81,0.74845,0.48615,1.09118,0.93295,0.92139,0.96748,0.77834,0.70464,0.43421,0.97873,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
72,2718.59,0.75966,0.49652,1.09081,0.92738,0.90646,0.96082,0.7679,0.7074,0.47484,0.98673,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657
73,2756.06,0.74064,0.4706,1.08731,0.93626,0.90903,0.95975,0.77179,0.71223,0.42242,0.98312,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
74,2792.99,0.73832,0.47942,1.08517,0.94757,0.91023,0.96184,0.7691,0.71049,0.39845,0.98425,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591
75,2829.37,0.73839,0.47974,1.08817,0.93922,0.90867,0.95764,0.76882,0.71517,0.4805,0.98425,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
76,2867.56,0.73297,0.46946,1.08404,0.94702,0.90889,0.96302,0.76603,0.72027,0.44395,0.99729,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
