               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  81,             0.02625,            0.014016,            0.002839,             0.93387,             0.91661,             0.95058,             0.70665,            0.020266,            0.010335,           0.0016923,             0.00208,             0.00208,             0.00208
                  82,            0.026565,            0.014173,           0.0027359,             0.93199,             0.91987,             0.95145,             0.70892,            0.020227,             0.01039,            0.001706,            0.001981,            0.001981,            0.001981
                  83,            0.026068,            0.014133,           0.0027419,             0.93377,             0.91817,             0.95002,             0.70789,            0.020306,            0.010467,            0.001716,            0.001882,            0.001882,            0.001882
                  84,            0.025929,            0.014035,           0.0027538,             0.93382,             0.92137,             0.94986,             0.70671,            0.020305,            0.010447,           0.0016773,            0.001783,            0.001783,            0.001783
                  85,            0.025832,            0.014064,           0.0027956,             0.93047,             0.91533,             0.94645,             0.70797,            0.020169,            0.010466,           0.0016567,            0.001684,            0.001684,            0.001684
                  86,            0.025783,            0.013946,           0.0027729,             0.92762,              0.9166,             0.94641,             0.70905,            0.020178,            0.010456,           0.0016763,            0.001585,            0.001585,            0.001585
                  87,            0.025796,            0.013933,           0.0027284,             0.93281,             0.91985,             0.94753,             0.70746,             0.02017,            0.010443,           0.0016834,            0.001486,            0.001486,            0.001486
                  88,            0.025583,            0.013667,           0.0026922,              0.9342,             0.91851,             0.94904,             0.71021,            0.020161,            0.010496,            0.001689,            0.001387,            0.001387,            0.001387
                  89,            0.025714,            0.014106,           0.0026624,             0.93639,             0.91731,              0.9484,             0.71226,            0.020138,            0.010533,           0.0016744,            0.001288,            0.001288,            0.001288
                  90,            0.025546,            0.014018,           0.0027104,              0.9346,             0.91784,              0.9488,             0.71314,            0.020116,            0.010556,           0.0016996,            0.001189,            0.001189,            0.001189
                  91,              0.0256,            0.013975,           0.0027925,             0.93579,             0.92061,             0.95052,             0.71554,            0.020102,            0.010567,            0.001681,             0.00109,             0.00109,             0.00109
