               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  57,            0.026314,            0.017569,           0.0031348,             0.91286,              0.9132,             0.95247,             0.72179,            0.020816,            0.010344,           0.0024529,            0.008152,            0.008152,            0.008152
                  58,            0.025992,            0.017567,           0.0030595,             0.92323,             0.91685,             0.95407,              0.7294,            0.020376,            0.010292,           0.0019625,            0.008119,            0.008119,            0.008119
                  59,            0.025868,            0.017098,           0.0032972,             0.92048,             0.91385,             0.95471,             0.72597,            0.020951,             0.01017,           0.0023046,            0.008086,            0.008086,            0.008086
                  60,            0.025545,            0.016865,           0.0032779,             0.93234,             0.91321,             0.95483,             0.72714,            0.020256,            0.010178,           0.0024127,            0.008053,            0.008053,            0.008053
                  61,            0.025876,            0.017159,           0.0029531,             0.92009,             0.91702,              0.9563,             0.73314,            0.020809,            0.010151,           0.0021324,             0.00802,             0.00802,             0.00802
                  62,            0.025635,            0.017375,           0.0030601,             0.93017,             0.89897,              0.9513,             0.72434,            0.020456,            0.010191,           0.0021966,            0.007987,            0.007987,            0.007987
                  63,            0.025339,            0.017198,           0.0030544,             0.92298,             0.91106,             0.95556,             0.73796,            0.020115,            0.010264,           0.0022051,            0.007954,            0.007954,            0.007954
                  64,            0.025765,            0.017074,           0.0029842,             0.92411,             0.90664,             0.95394,             0.73256,            0.020275,            0.010122,           0.0021455,            0.007921,            0.007921,            0.007921
                  65,            0.024924,            0.016681,           0.0028752,             0.93039,             0.90367,              0.9503,             0.72599,            0.020417,            0.010678,           0.0021739,            0.007888,            0.007888,            0.007888
                  66,            0.025345,            0.016798,           0.0029739,             0.91274,             0.91636,             0.95481,             0.73216,             0.02049,            0.010217,           0.0020257,            0.007855,            0.007855,            0.007855
                  67,            0.025453,            0.017139,           0.0029183,             0.93084,             0.89817,             0.95468,             0.73696,             0.02005,            0.010136,           0.0021267,            0.007822,            0.007822,            0.007822
                  68,            0.025474,            0.017403,           0.0030445,             0.91398,             0.91367,             0.95905,             0.73612,            0.019913,            0.010172,           0.0022843,            0.007789,            0.007789,            0.007789
                  69,            0.025136,            0.016774,           0.0032393,             0.91775,             0.90846,             0.95161,              0.7366,            0.020193,            0.010098,           0.0020815,            0.007756,            0.007756,            0.007756
                  70,            0.025019,            0.016477,           0.0029201,             0.91245,             0.91441,             0.95417,              0.7263,            0.020688,            0.010211,           0.0021457,            0.007723,            0.007723,            0.007723
                  71,             0.02502,             0.01675,           0.0026419,             0.92701,             0.90877,              0.9538,              0.7284,             0.02041,            0.010056,           0.0021021,             0.00769,             0.00769,             0.00769
                  72,            0.024551,             0.01667,           0.0026759,             0.92793,             0.91376,             0.95878,             0.74654,            0.019633,            0.010407,           0.0020139,            0.007657,            0.007657,            0.007657
                  73,            0.024775,             0.01696,           0.0026399,             0.92775,             0.91156,             0.95271,             0.73602,            0.020388,             0.01044,           0.0021611,            0.007624,            0.007624,            0.007624
